Device Name:,,VoltX4,VoltX4,VoltX4,VoltX4
Device Description:,,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger
Serial Number:,,R64783,R64783,R64783,R64783
Device ID:,,MultiChannel,MultiChannel,MultiChannel,MultiChannel
,,,,,
,,Channel 1,Channel 2,Channel 3,Channel 4
Date,Time,Voltage 1 (mV),Voltage 2 (mV),Voltage 3 (mV),Voltage 4 (mV)
6/14/21,8:00:00 AM,23.26096,35.60118,-35.47136,-2.1852
6/14/21,8:15:00 AM,22.81404,35.57134,-35.4423,-1.05566
6/14/21,8:30:00 AM,23.21344,35.55398,-35.42302,-0.51102
6/14/21,8:45:00 AM,23.35656,35.54716,-35.4138,-0.44882
6/14/21,9:00:00 AM,23.9136,35.54756,-35.41122,-0.82684
6/14/21,9:15:00 AM,24.5037,35.55012,-35.41304,-1.53374
6/14/21,9:30:00 AM,25.62142,35.55688,-35.41772,-2.49258
6/14/21,9:45:00 AM,25.94874,35.56256,-35.42436,-3.41328
6/14/21,10:00:00 AM,26.69924,35.5705,-35.43146,-4.25566
6/14/21,10:15:00 AM,27.18206,35.57788,-35.43892,-5.12788
6/14/21,10:30:00 AM,26.61378,35.58354,-35.44652,-5.7927
6/14/21,10:45:00 AM,28.41696,35.5898,-35.45102,-6.43098
6/14/21,11:00:00 AM,29.5776,35.5955,-35.4555,-6.97108
6/14/21,11:15:00 AM,30.36872,35.60038,-35.45924,-7.49268
6/14/21,11:30:00 AM,32.65168,35.60796,-35.46206,-8.15208
6/14/21,11:45:00 AM,33.96524,35.61448,-35.46794,-9.05176
6/14/21,12:00:00 PM,29.29776,35.61754,-35.481,-9.39424
6/14/21,12:15:00 PM,33.02996,35.6253,-35.48274,-9.99404
6/14/21,12:30:00 PM,36.43356,35.62784,-35.47632,-7.7775
6/14/21,12:45:00 PM,37.53538,35.6179,-35.46174,-4.3537
6/14/21,1:00:00 PM,39.35514,35.59786,-35.43648,-1.93502
6/14/21,1:15:00 PM,39.35588,35.5778,-35.41584,-0.24472
6/14/21,1:30:00 PM,38.85242,35.56198,-35.3981,1.1577
6/14/21,1:45:00 PM,38.65002,35.54712,-35.38252,2.03662
6/14/21,2:00:00 PM,38.30544,35.53724,-35.372,2.57984
6/14/21,2:15:00 PM,38.53504,35.531,-35.3639,2.7489
6/14/21,2:30:00 PM,38.82676,35.5274,-35.3599,2.81414
6/14/21,2:45:00 PM,38.61314,35.52524,-35.35718,3.0065
6/14/21,3:00:00 PM,39.17812,35.52368,-35.3547,2.9012
6/14/21,3:15:00 PM,40.13134,35.52452,-35.35418,2.7696
6/14/21,3:30:00 PM,41.007,35.52486,-35.35298,2.531
6/14/21,3:45:00 PM,41.71278,35.52608,-35.35292,2.42536
6/14/21,4:00:00 PM,42.17736,35.52678,-35.35268,2.36578
6/14/21,4:15:00 PM,42.11628,35.5277,-35.35338,2.31402
6/14/21,4:30:00 PM,42.25646,35.52744,-35.3525,2.27776
6/14/21,4:45:00 PM,42.69806,35.52736,-35.353,2.09926
6/14/21,5:00:00 PM,42.6034,35.5273,-35.35344,2.08614
6/14/21,5:15:00 PM,42.51778,35.52736,-35.35428,2.05188
6/14/21,5:30:00 PM,42.51198,35.52614,-35.35396,1.96328
6/14/21,5:45:00 PM,42.36832,35.52602,-35.35332,1.96334
6/14/21,6:00:00 PM,42.70418,35.52534,-35.35386,1.85426
6/14/21,6:15:00 PM,42.6522,35.52686,-35.35422,1.84442
6/14/21,6:30:00 PM,42.23178,35.52516,-35.35418,1.89976
6/14/21,6:45:00 PM,41.95196,35.52364,-35.35396,1.92062
6/14/21,7:00:00 PM,41.97312,35.52372,-35.35372,1.9423
6/14/21,7:15:00 PM,41.76294,35.52312,-35.35346,1.9772
6/14/21,7:30:00 PM,41.69922,35.52196,-35.35342,2.02618
6/14/21,7:45:00 PM,41.57052,35.52074,-35.35178,2.13514
6/14/21,8:00:00 PM,41.00466,35.51872,-35.35134,2.23792
6/14/21,8:15:00 PM,40.86212,35.5169,-35.34994,2.36002
6/14/21,8:30:00 PM,40.7577,35.51694,-35.3483,2.50416
6/14/21,8:45:00 PM,40.67966,35.5146,-35.34736,2.61874
6/14/21,9:00:00 PM,40.20126,35.51102,-35.34634,2.78558
6/14/21,9:15:00 PM,39.68298,35.50974,-35.34452,3.00946
6/14/21,9:30:00 PM,38.93286,35.50756,-35.3435,3.28678
6/14/21,9:45:00 PM,38.52098,35.50396,-35.34158,3.5309
6/14/21,10:00:00 PM,37.95372,35.50126,-35.3408,3.78128
6/14/21,10:15:00 PM,37.33966,35.49814,-35.337,4.10002
6/14/21,10:30:00 PM,37.09974,35.49556,-35.33524,4.28226
6/14/21,10:45:00 PM,36.88056,35.49274,-35.33356,4.40112
6/14/21,11:00:00 PM,35.69494,35.48952,-35.33236,4.59864
6/14/21,11:15:00 PM,35.74474,35.48752,-35.33076,4.74856
6/14/21,11:30:00 PM,35.45336,35.486,-35.32928,4.8881
6/14/21,11:45:00 PM,36.30218,35.48474,-35.32678,4.85274
6/15/21,12:00:00 AM,35.6985,35.4839,-35.32672,4.96114
6/15/21,12:15:00 AM,34.59838,35.48098,-35.32726,5.0358
6/15/21,12:30:00 AM,35.53308,35.48114,-35.32548,4.953
6/15/21,12:45:00 AM,36.08182,35.48128,-35.3235,4.80862
6/15/21,1:00:00 AM,36.07214,35.4813,-35.32434,4.72628
6/15/21,1:15:00 AM,36.04988,35.48216,-35.32484,4.68544
6/15/21,1:30:00 AM,36.22638,35.48146,-35.32468,4.68936
6/15/21,1:45:00 AM,36.49002,35.4816,-35.32368,4.7892
6/15/21,2:00:00 AM,36.08756,35.48004,-35.32326,4.77394
6/15/21,2:15:00 AM,36.41302,35.47968,-35.32374,4.81096
6/15/21,2:30:00 AM,36.00354,35.47894,-35.32252,4.83976
6/15/21,2:45:00 AM,36.1499,35.47802,-35.32316,4.86962
6/15/21,3:00:00 AM,36.21426,35.47792,-35.3219,4.85888
6/15/21,3:15:00 AM,36.0899,35.47766,-35.32136,4.88744
6/15/21,3:30:00 AM,36.22834,35.47672,-35.31994,4.89946
6/15/21,3:45:00 AM,35.91186,35.47616,-35.32048,4.91
6/15/21,4:00:00 AM,35.9379,35.47508,-35.321,4.87094
6/15/21,4:15:00 AM,35.7658,35.47486,-35.3204,4.79744
6/15/21,4:30:00 AM,35.22224,35.47422,-35.32094,4.73714
6/15/21,4:45:00 AM,34.74934,35.47466,-35.3214,4.696
6/15/21,5:00:00 AM,33.8983,35.47334,-35.32216,4.66534
6/15/21,5:15:00 AM,33.26674,35.47182,-35.32276,4.66364
6/15/21,5:30:00 AM,32.6548,35.47188,-35.32354,4.65614
6/15/21,5:45:00 AM,32.545,35.47132,-35.32412,4.65182
6/15/21,6:00:00 AM,32.5763,35.47008,-35.32328,4.65474
6/15/21,6:15:00 AM,32.75898,35.47038,-35.32246,4.66368
6/15/21,6:30:00 AM,33.257,35.4701,-35.32118,4.6801
6/15/21,6:45:00 AM,33.84626,35.4696,-35.31954,4.6961
6/15/21,7:00:00 AM,34.00492,35.46894,-35.31936,4.7093
6/15/21,7:15:00 AM,33.87278,35.46848,-35.31826,4.70704
6/15/21,7:30:00 AM,33.15502,35.46806,-35.31988,4.6542
6/15/21,7:45:00 AM,31.03286,35.46696,-35.3229,4.53156
6/15/21,8:00:00 AM,29.77706,35.46692,-35.32644,4.24346
6/15/21,8:15:00 AM,29.3485,35.46812,-35.32966,3.80248
6/15/21,8:30:00 AM,30.44156,35.47596,-35.33498,2.73102
6/15/21,8:45:00 AM,28.44612,35.48088,-35.34456,1.9215
6/15/21,9:00:00 AM,28.00282,35.48698,-35.35264,1.07522
6/15/21,9:15:00 AM,28.31374,35.49316,-35.35912,0.20608
6/15/21,9:30:00 AM,29.07792,35.50096,-35.36736,-0.76516
6/15/21,9:45:00 AM,29.45606,35.50868,-35.37494,-1.8501
6/15/21,10:00:00 AM,29.58056,35.5176,-35.3846,-2.93502
6/15/21,10:15:00 AM,29.87648,35.52658,-35.39434,-3.91688
6/15/21,10:30:00 AM,30.0838,35.53566,-35.40344,-4.91198
6/15/21,10:45:00 AM,30.39098,35.54404,-35.41214,-5.99732
6/15/21,11:00:00 AM,30.9836,35.55334,-35.42258,-7.04286
