Device Name:,,VoltX4,VoltX4,VoltX4,VoltX4
Device Description:,,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger
Serial Number:,,R64783,R64783,R64783,R64783
Device ID:,,MultiChannel,MultiChannel,MultiChannel,MultiChannel
,,,,,
,,Channel 1,Channel 2,Channel 3,Channel 4
Date,Time,Voltage 1 (mV),Voltage 2 (mV),Voltage 3 (mV),Voltage 4 (mV)
7/13/21,8:00:00 AM,45.882,35.50826,-35.36098,-3.0368
7/13/21,8:15:00 AM,32.0439,35.50904,-35.38326,-3.55362
7/13/21,8:30:00 AM,33.2367,35.51148,-35.38182,-3.5541
7/13/21,8:45:00 AM,32.95012,35.51266,-35.38316,-3.42612
7/13/21,9:00:00 AM,31.81604,35.51322,-35.38456,-3.3222
7/13/21,9:15:00 AM,30.99138,35.51324,-35.38686,-3.27476
7/13/21,9:30:00 AM,30.18638,35.5132,-35.38898,-3.29012
7/13/21,9:45:00 AM,29.51438,35.51468,-35.39122,-3.3724
7/13/21,10:00:00 AM,28.7492,35.51562,-35.39362,-3.5241
7/13/21,10:15:00 AM,27.86284,35.51656,-35.39816,-3.76148
7/13/21,10:30:00 AM,26.73072,35.51824,-35.40084,-4.07992
7/13/21,10:45:00 AM,25.60102,35.52036,-35.40642,-4.5933
7/13/21,11:00:00 AM,24.3555,35.52232,-35.41194,-5.2903
7/13/21,11:15:00 AM,30.07524,35.5322,-35.41022,-5.63208
7/13/21,11:30:00 AM,36.57676,35.53984,-35.40482,-5.30742
7/13/21,11:45:00 AM,41.35412,35.54268,-35.39664,-4.4645
7/13/21,12:00:00 PM,43.128,35.53816,-35.38938,-4.09948
7/13/21,12:15:00 PM,43.75354,35.53534,-35.38504,-3.72392
7/13/21,12:30:00 PM,44.33092,35.53276,-35.38082,-3.52736
7/13/21,12:45:00 PM,44.6383,35.53008,-35.37786,-3.3779
7/13/21,1:00:00 PM,44.90682,35.52976,-35.3754,-3.32292
7/13/21,1:15:00 PM,44.29074,35.52768,-35.37566,-3.19614
7/13/21,1:30:00 PM,44.67472,35.52834,-35.37454,-3.28196
7/13/21,1:45:00 PM,44.94694,35.52834,-35.37364,-3.21064
7/13/21,2:00:00 PM,44.5167,35.52852,-35.37396,-3.25178
7/13/21,2:15:00 PM,44.9552,35.528,-35.37324,-3.28906
7/13/21,2:30:00 PM,44.27614,35.5283,-35.3747,-3.41154
7/13/21,2:45:00 PM,44.18288,35.52824,-35.37552,-3.5288
7/13/21,3:00:00 PM,44.7435,35.52986,-35.3761,-3.71534
7/13/21,3:15:00 PM,45.00092,35.53076,-35.377,-3.83034
7/13/21,3:30:00 PM,45.2524,35.53256,-35.3785,-3.8989
7/13/21,3:45:00 PM,45.6423,35.53348,-35.37902,-3.9929
7/13/21,4:00:00 PM,45.79384,35.53386,-35.37914,-4.10038
7/13/21,4:15:00 PM,46.11102,35.53536,-35.37986,-4.16618
7/13/21,4:30:00 PM,46.17686,35.5363,-35.37998,-4.20898
7/13/21,4:45:00 PM,46.07128,35.53692,-35.3806,-4.19324
7/13/21,5:00:00 PM,45.95508,35.53754,-35.38162,-4.19314
7/13/21,5:15:00 PM,45.84436,35.5367,-35.38158,-4.21668
7/13/21,5:30:00 PM,45.34694,35.5358,-35.38192,-4.12802
7/13/21,5:45:00 PM,45.07986,35.53534,-35.3816,-4.04612
7/13/21,6:00:00 PM,45.00452,35.5352,-35.38162,-4.05094
7/13/21,6:15:00 PM,44.91918,35.53442,-35.38114,-4.02012
7/13/21,6:30:00 PM,44.66774,35.53424,-35.3811,-3.99258
7/13/21,6:45:00 PM,44.16922,35.53388,-35.38168,-3.9127
7/13/21,7:00:00 PM,43.5844,35.5326,-35.38106,-3.87062
7/13/21,7:15:00 PM,43.01058,35.53106,-35.3831,-3.77018
7/13/21,7:30:00 PM,42.08364,35.52974,-35.38252,-3.70048
7/13/21,7:45:00 PM,41.77096,35.52924,-35.38162,-3.62704
7/13/21,8:00:00 PM,41.43132,35.52784,-35.3812,-3.56832
7/13/21,8:15:00 PM,40.98988,35.52702,-35.38164,-3.50522
7/13/21,8:30:00 PM,40.96888,35.52642,-35.38096,-3.48832
7/13/21,8:45:00 PM,41.35402,35.52734,-35.38034,-3.4598
7/13/21,9:00:00 PM,41.42392,35.52632,-35.3795,-3.4338
7/13/21,9:15:00 PM,41.38996,35.5268,-35.37872,-3.3529
7/13/21,9:30:00 PM,41.01092,35.52604,-35.37964,-3.27996
7/13/21,9:45:00 PM,41.96416,35.52578,-35.3781,-3.2363
7/13/21,10:00:00 PM,42.0382,35.52548,-35.37716,-3.18364
7/13/21,10:15:00 PM,42.3309,35.52596,-35.37596,-3.10386
7/13/21,10:30:00 PM,42.29856,35.52478,-35.37562,-3.04218
7/13/21,10:45:00 PM,42.34278,35.52418,-35.37448,-2.94236
7/13/21,11:00:00 PM,42.42662,35.5244,-35.37348,-2.84964
7/13/21,11:15:00 PM,42.56342,35.52302,-35.37286,-2.76372
7/13/21,11:30:00 PM,42.44908,35.5223,-35.3727,-2.69246
7/13/21,11:45:00 PM,42.50548,35.52206,-35.37164,-2.64284
7/14/21,12:00:00 AM,42.49394,35.52158,-35.37102,-2.67262
7/14/21,12:15:00 AM,42.55982,35.52134,-35.37082,-2.69538
7/14/21,12:30:00 AM,42.32426,35.52108,-35.372,-2.72142
7/14/21,12:45:00 AM,42.32592,35.5214,-35.3713,-2.83104
7/14/21,1:00:00 AM,42.17084,35.52142,-35.37224,-2.94774
7/14/21,1:15:00 AM,41.95874,35.5222,-35.37386,-2.99266
7/14/21,1:30:00 AM,42.12192,35.52212,-35.37362,-3.05228
7/14/21,1:45:00 AM,41.92468,35.52386,-35.37438,-3.02408
7/14/21,2:00:00 AM,41.85094,35.52306,-35.3747,-2.99908
7/14/21,2:15:00 AM,41.75784,35.52324,-35.37478,-2.99236
7/14/21,2:30:00 AM,41.70464,35.5226,-35.37476,-2.9566
7/14/21,2:45:00 AM,41.68834,35.52194,-35.37458,-2.92172
7/14/21,3:00:00 AM,41.64106,35.5218,-35.3737,-2.84348
7/14/21,3:15:00 AM,41.60706,35.52078,-35.37312,-2.72474
7/14/21,3:30:00 AM,41.21292,35.5198,-35.37286,-2.69014
7/14/21,3:45:00 AM,41.31254,35.51974,-35.37256,-2.56558
7/14/21,4:00:00 AM,41.41278,35.51892,-35.37132,-2.46866
7/14/21,4:15:00 AM,40.47004,35.51792,-35.37158,-2.40214
7/14/21,4:30:00 AM,39.16074,35.5152,-35.37242,-2.35836
7/14/21,4:45:00 AM,37.75154,35.51258,-35.37324,-2.30854
7/14/21,5:00:00 AM,37.69958,35.51226,-35.3722,-2.30248
7/14/21,5:15:00 AM,37.57172,35.51166,-35.37174,-2.2905
7/14/21,5:30:00 AM,37.2691,35.51168,-35.37258,-2.27996
7/14/21,5:45:00 AM,36.93668,35.51082,-35.37296,-2.27198
7/14/21,6:00:00 AM,36.64188,35.51132,-35.3725,-2.26476
7/14/21,6:15:00 AM,36.5323,35.51084,-35.3722,-2.26002
7/14/21,6:30:00 AM,36.28676,35.5102,-35.3727,-2.25656
7/14/21,6:45:00 AM,36.3419,35.51042,-35.37312,-2.255
7/14/21,7:00:00 AM,36.30486,35.50968,-35.37268,-2.2556
7/14/21,7:15:00 AM,36.4945,35.50998,-35.37258,-2.26218
7/14/21,7:30:00 AM,36.53962,35.50976,-35.37222,-2.27284
7/14/21,7:45:00 AM,36.6806,35.51096,-35.37236,-2.29322
7/14/21,8:00:00 AM,36.59514,35.5118,-35.37386,-2.32696
7/14/21,8:15:00 AM,33.20662,35.50942,-35.37722,-2.37824
7/14/21,8:30:00 AM,29.54822,35.50592,-35.38206,-2.45052
7/14/21,8:45:00 AM,25.39898,35.50282,-35.3876,-2.55112
7/14/21,9:00:00 AM,23.61886,35.50274,-35.39188,-2.68546
7/14/21,9:15:00 AM,25.38712,35.50638,-35.39132,-2.8618
7/14/21,9:30:00 AM,24.1078,35.50754,-35.39584,-3.11814
7/14/21,9:45:00 AM,22.55474,35.5082,-35.40002,-3.37868
7/14/21,10:00:00 AM,22.69376,35.51146,-35.40328,-3.66422
7/14/21,10:15:00 AM,21.5769,35.51288,-35.40684,-4.03164
7/14/21,10:30:00 AM,22.11402,35.5181,-35.41222,-4.41736
